"date","Manipur/Bishnupur","Manipur/CAPF Personnel","Manipur/Chandel","Manipur/Churachandpur","Manipur/Imphal East","Manipur/Imphal West","Manipur/Jiribam","Manipur/Kakching","Manipur/Kamjong","Manipur/Kangpokpi","Manipur/Meitram","Manipur/Noney","Manipur/Pherzawl","Manipur/Senapati","Manipur/Tamenglong","Manipur/Tengnoupal","Manipur/Thoubal","Manipur/Ukhrul","Manipur/kasom khulem"
"2020-03-24","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-04-02","","","","","   .00 %","","","","","","","","","","","","","",""
"2020-05-14","","","",""," ##.## %","","","","","","","","","","","","","",""
"2020-05-16","","","","   .00 %"," 50.00 %","   .00 %","","","","","","","","","","","","",""
"2020-05-19","","","","",""," ##.## %","","","","","","","","","","","","",""
"2020-05-20","","",""," ##.## %",""," 25.00 %","","","","","","","","","","","","",""
"2020-05-22","","","","",""," 20.00 %","","","","","","","","","","","","",""
"2020-05-25","","","","  6.25 %","","","","","","","","   .00 %","","","","","","",""
"2020-05-26","","","","",""," 50.00 %","","","","","","","","","","","","",""
"2020-05-29","","","","",""," 33.33 %","","","   .00 %","","","","","","","","","",""
"2020-05-30","","","","","","  8.33 %","","","","","","","","","","","","",""
"2020-05-31","","","   .00 %","  5.88 %"," ##.## %","  7.69 %","","","","",""," ##.## %","","","","","   .00 %","   .00 %",""
"2020-06-01","   .00 %","","","","","  7.14 %","","","   .00 %","","","","","   .00 %","","","   .00 %","",""
"2020-06-02","","","",""," 66.67 %"," 13.33 %","","","","","","","","","","","","",""
"2020-06-03"," 50.00 %","","","  5.56 %","   .00 %","","","   .00 %"," ##.## %","","","",""," ##.## %","   .00 %","   .00 %"," 33.33 %"," 66.67 %",""
"2020-06-04"," 33.33 %",""," ##.## %"," 10.53 %","","","","","","   .00 %","","","",""," 25.00 %"," 75.00 %","","",""
"2020-06-05","","","","",""," 47.06 %","","","","","","","","","","","","",""
"2020-06-06","   .00 %","",""," 38.10 %","","   .00 %","","",""," ##.## %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %",""
"2020-06-07","","","","","","  4.00 %","","",""," 15.79 %","","","","","",""," ##.## %"," ##.## %",""
"2020-06-08"," ##.## %","",""," 41.38 %",""," 57.69 %",""," ##.## %"," ##.## %","  4.55 %",""," 33.33 %",""," 40.00 %",""," 28.57 %",""," 30.00 %",""
"2020-06-09","",""," ##.## %","","","","",""," 10.00 %"," 86.96 %",""," ##.## %","","","","","","",""
"2020-06-10","","","",""," 50.00 %","","","","","","",""," 66.67 %","","","","","",""
"2020-06-11","  2.50 %","","","","  6.67 %"," 34.15 %",""," 18.18 %","","",""," 46.15 %",""," ##.## %"," ##.## %","",""," 30.77 %",""
"2020-06-12","","","","   .00 %","  6.25 %","  3.64 %",""," 34.62 %","","  2.33 %","","  5.26 %","","","  5.56 %","",""," 23.53 %",""
"2020-06-13","","",""," ##.## %","","","","","","","","","","","","","","",""
"2020-06-16","","","","","","  7.02 %","","","","","","",""," 31.58 %","","","","",""
"2020-06-17"," 24.39 %",""," ##.## %","   .95 %","","  3.28 %",""," 11.43 %","  9.09 %","  9.09 %","","","","","",""," 60.00 %"," 95.24 %",""
"2020-06-18","","","","  6.60 %","","","","","","","",""," ##.## %"," 84.00 %","","","","",""
"2020-06-19"," 19.61 %",""," 75.00 %","-16.81 %"," 64.71 %"," -3.17 %","   .00 %","  7.69 %"," 75.00 %"," 16.67 %",""," 10.00 %","  3.23 %"," 19.57 %"," ##.## %"," 44.44 %"," ##.## %"," ##.## %",""
"2020-06-20"," 21.31 %","","","","  7.14 %","",""," 11.90 %"," 28.57 %"," 39.29 %","","",""," 21.82 %"," 50.00 %","  7.69 %","","  4.76 %",""
"2020-06-21","   .00 %","","  7.14 %","   .00 %","  6.67 %","  4.92 %",""," 12.77 %"," 74.07 %"," 21.79 %","","","","  1.49 %","  8.60 %",""," 18.18 %","",""
"2020-06-22","  4.05 %",""," ##.## %","  8.51 %","  3.12 %","",""," 18.87 %","  6.38 %","  2.11 %","","","","  5.88 %","  3.96 %","","  2.56 %","",""
"2020-06-23","","","  5.56 %","   .98 %","","  9.38 %","","  1.59 %","","  2.06 %","","   .00 %",""," 15.28 %","","","","",""
"2020-06-24","   .00 %","",""," 10.68 %","  6.06 %","  4.29 %"," 50.00 %","  7.81 %"," 10.00 %","  2.02 %","","  4.55 %","","  6.02 %","  1.90 %","","  2.50 %"," 12.50 %",""
"2020-06-25","  2.60 %","","","  1.75 %","  2.86 %","  4.11 %","","  5.80 %","  3.64 %","   .99 %","","   .00 %","","  2.27 %"," 51.40 %","","  4.88 %"," 12.12 %",""
"2020-06-26","","","","  2.59 %","","","","","  1.75 %","","","","","  1.11 %","",""," 20.93 %","  4.50 %",""
"2020-06-27","","","","",""," 14.47 %","","  1.37 %","","","","","","","","","  1.92 %","  3.45 %",""
"2020-06-28","","","","  8.40 %","  5.56 %","  1.15 %",""," 17.57 %"," 36.21 %","","","  4.35 %","","  6.59 %","  8.64 %","",""," 20.83 %",""
