"date","California/Alameda","California/Alpine","California/Amador","California/Butte","California/Calaveras","California/Colusa","California/Contra Costa","California/Del Norte","California/El Dorado","California/Fresno","California/Glenn","California/Humboldt","California/Imperial","California/Inyo","California/Kern","California/Kings","California/Lake","California/Lassen","California/Los Angeles","California/Madera","California/Marin","California/Mariposa","California/Mendocino","California/Merced","California/Modoc","California/Mono","California/Monterey","California/Napa","California/Nevada","California/Orange","California/Placer","California/Plumas","California/Riverside","California/Sacramento","California/San Benito","California/San Bernardino","California/San Diego","California/San Francisco","California/San Joaquin","California/San Luis Obispo","California/San Mateo","California/Santa Barbara","California/Santa Clara","California/Santa Cruz","California/Shasta","California/Sierra","California/Siskiyou","California/Solano","California/Sonoma","California/Stanislaus","California/Sutter","California/Tehama","California/Trinity","California/Tulare","California/Tuolumne","California/Unassigned","California/Ventura","California/Yolo","California/Yuba"
"2020-03-22","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","1","0","0","0","1","0","6","3","1","0","0","0","2","0","1","0","8","0","0","0","0","0","1","0","0","0","0","0","0","","0","0","0"
"2020-03-23","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","1","0","0","0","1","0","6","4","1","0","1","0","2","0","1","0","10","0","0","0","0","0","1","0","0","0","0","0","0","","1","1","0"
"2020-03-24","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","1","0","0","0","1","0","6","4","1","0","1","0","2","0","1","0","16","0","0","0","0","0","1","0","0","0","0","0","0","","1","1","0"
"2020-03-25","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","1","0","0","1","1","0","7","5","1","1","2","1","3","0","5","0","17","0","1","0","0","0","1","0","0","0","0","0","0","","1","1","0"
"2020-03-26","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","1","0","0","1","1","0","8","5","1","2","3","2","3","0","5","0","19","0","1","0","0","0","1","0","0","0","0","0","0","","1","1","0"
"2020-03-27","4","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","26","0","0","0","0","0","0","0","1","0","0","3","1","0","8","6","1","3","3","3","3","0","6","0","20","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0"
"2020-03-28","4","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","26","1","1","0","0","0","0","0","1","0","0","4","1","0","8","6","1","3","6","4","4","0","6","0","25","0","1","0","0","0","1","0","0","0","0","0","0","","3","1","0"
"2020-03-29","6","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","32","1","1","0","0","0","0","0","1","0","0","4","2","0","8","6","1","3","7","4","4","0","6","0","25","1","1","0","0","0","1","0","0","0","0","1","0","1","3","1","0"
"2020-03-30","7","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","44","1","1","0","0","0","0","0","1","0","0","4","2","0","9","7","1","3","7","6","6","0","6","0","28","1","1","0","0","0","1","0","0","0","0","1","0","0","4","1","0"
"2020-03-31","7","","0","0","0","0","3","","0","0","0","0","0","0","1","0","","","54","1","4","","0","0","","0","1","0","0","7","2","","13","7","1","4","7","6","6","0","10","0","30","1","1","","0","0","1","0","0","","","1","0","0","4","1","0"
