"date","North Dakota/Adams","North Dakota/Barnes","North Dakota/Benson","North Dakota/Billings","North Dakota/Bottineau","North Dakota/Bowman","North Dakota/Burke","North Dakota/Burleigh","North Dakota/Cass","North Dakota/Cavalier","North Dakota/Dickey","North Dakota/Divide","North Dakota/Dunn","North Dakota/Eddy","North Dakota/Emmons","North Dakota/Foster","North Dakota/Golden Valley","North Dakota/Grand Forks","North Dakota/Grant","North Dakota/Griggs","North Dakota/Hettinger","North Dakota/Kidder","North Dakota/LaMoure","North Dakota/Logan","North Dakota/McHenry","North Dakota/McIntosh","North Dakota/McKenzie","North Dakota/McLean","North Dakota/Mercer","North Dakota/Morton","North Dakota/Mountrail","North Dakota/Nelson","North Dakota/Oliver","North Dakota/Pembina","North Dakota/Pierce","North Dakota/Ramsey","North Dakota/Ransom","North Dakota/Renville","North Dakota/Richland","North Dakota/Rolette","North Dakota/Sargent","North Dakota/Sheridan","North Dakota/Sioux","North Dakota/Slope","North Dakota/Stark","North Dakota/Steele","North Dakota/Stutsman","North Dakota/Towner","North Dakota/Traill","North Dakota/Unassigned","North Dakota/Walsh","North Dakota/Ward","North Dakota/Wells","North Dakota/Williams"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"2020-03-24","0","0","0","0","0","0","0","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0"
"2020-03-25","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","","0","0","0","0"
"2020-03-26","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","0","0","0","0"
"2020-03-27","0","0","0","0","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","","0","1","0","0"
"2020-03-28","0","2","0","0","0","0","0","3","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","","0","3","0","0"
"2020-03-29","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","0","0","0","0"
"2020-03-30","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","-1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","2","0","0"
"2020-03-31","","0","","","","","","0","8","","","0","0","","","0","","0","1","","","","","","0","0","","0","0","0","1","","0","","0","0","","","","","","","0","","1","","","","","","0","0","","2"
"2020-04-01","","0","","","","","2","3","2","","","0","0","","","0","","3","0","","","","","","0","0","1","0","0","0","1","","0","","0","0","","","","1","","","0","","3","","","","","","0","3","","1"
"2020-04-02","","0","","","","","0","0","9","","","0","0","","","0","","0","0","","","","","","0","0","1","0","0","0","2","","0","","0","0","","","","-1","","","0","","4","","","","","0","0","1","","1"
"2020-04-03","","0","","","","","0","0","3","","","0","0","1","","0","","1","0","","","","","","0","0","0","0","","2","3","","0","","0","0","","","","","","","0","1","1","","","","","0","0","1","","1"
"2020-04-04","","0","","","","","0","2","2","","","0","0","0","","0","","4","0","","","","","","0","0","0","0","","0","2","","0","","0","0","","","","","","","0","0","3","","","","","0","0","0","","0"
"2020-04-05","","0","","","","","0","3","6","","","0","0","0","1","0","","1","0","","","","","","0","0","1","0","0","0","6","","0","","0","0","","","","0","","","0","0","3","","","","","0","0","0","","0"
