"date","Nebraska/Adams","Nebraska/Antelope","Nebraska/Arthur","Nebraska/Banner","Nebraska/Blaine","Nebraska/Boone","Nebraska/Box Butte","Nebraska/Boyd","Nebraska/Brown","Nebraska/Buffalo","Nebraska/Burt","Nebraska/Butler","Nebraska/Cass","Nebraska/Cedar","Nebraska/Chase","Nebraska/Cherry","Nebraska/Cheyenne","Nebraska/Clay","Nebraska/Colfax","Nebraska/Cuming","Nebraska/Custer","Nebraska/Dakota","Nebraska/Dawes","Nebraska/Dawson","Nebraska/Deuel","Nebraska/Dixon","Nebraska/Dodge","Nebraska/Douglas","Nebraska/Dundy","Nebraska/Fillmore","Nebraska/Franklin","Nebraska/Frontier","Nebraska/Furnas","Nebraska/Gage","Nebraska/Garden","Nebraska/Garfield","Nebraska/Gosper","Nebraska/Grant","Nebraska/Greeley","Nebraska/Hall","Nebraska/Hamilton","Nebraska/Harlan","Nebraska/Hayes","Nebraska/Hitchcock","Nebraska/Holt","Nebraska/Hooker","Nebraska/Howard","Nebraska/Jefferson","Nebraska/Johnson","Nebraska/Kearney","Nebraska/Keith","Nebraska/Keya Paha","Nebraska/Kimball","Nebraska/Knox","Nebraska/Lancaster","Nebraska/Lincoln","Nebraska/Logan","Nebraska/Loup","Nebraska/Madison","Nebraska/McPherson","Nebraska/Merrick","Nebraska/Morrill","Nebraska/Nance","Nebraska/Nemaha","Nebraska/Nuckolls","Nebraska/Otoe","Nebraska/Pawnee","Nebraska/Perkins","Nebraska/Phelps","Nebraska/Pierce","Nebraska/Platte","Nebraska/Polk","Nebraska/Red Willow","Nebraska/Richardson","Nebraska/Rock","Nebraska/Saline","Nebraska/Sarpy","Nebraska/Saunders","Nebraska/Scotts Bluff","Nebraska/Seward","Nebraska/Sheridan","Nebraska/Sherman","Nebraska/Sioux","Nebraska/Stanton","Nebraska/Thayer","Nebraska/Thomas","Nebraska/Thurston","Nebraska/Unassigned","Nebraska/Valley","Nebraska/Washington","Nebraska/Wayne","Nebraska/Webster","Nebraska/Wheeler","Nebraska/York"
"2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0"
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0"
"2020-03-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0"
"2020-03-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0"
"2020-03-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-31","0","0","","","","","","","","0","","","0","","","","","","","","","","","0","","","0","1","","","","","","","","","0","","","1","","","","","","","","","","0","","","","0","0","1","","","0","","","","","0","","","","","","","0","","","","","","0","0","0","","","","","","","","","0","","0","","","","0"
"2020-04-01","0","0","","","","","","","","1","","","0","","","","","","","0","","","","0","","","0","1","","","","","","","","","0","","","1","","","","","","","","","","0","","","0","0","0","1","","","0","","","","","0","","","","","","","0","","","","","","0","0","0","","","","","","","","","0","","0","","","","0"
"2020-04-02","0","0","","","","","","","","1","","","0","","","","","","","0","","","","0","","","0","1","","","","","","0","","","0","","","1","0","","","","","","","","","0","","","0","0","0","1","","","0","","","","","0","","0","","","","","0","","","","","","0","0","0","","","","","","","","","1","","0","","","","0"
"2020-04-03","0","0","","","","","","","","1","","","0","","","","","","0","0","","","","0","","","0","1","","","","","","1","","","0","","","1","0","","","","","","","","","0","","","0","0","0","1","","","0","","","","","0","","0","","","","","0","","","","","","0","0","0","","","","","","","","","1","","0","","","","0"
"2020-04-04","0","0","","","","","","","","1","","","0","","","0","","","0","0","","","","0","","","0","1","","","","","","1","","","0","","","1","0","","","","","","","","","0","","","0","0","0","1","","","0","","0","","","0","","0","","","","","0","","","","","","0","0","0","","","","","","","","","1","","0","","","","0"
"2020-04-05","0","0","","","","","","","","1","","","0","","","0","","","0","0","","","","0","","","0","3","","","","","","1","","","0","","","1","0","","","","","","","","0","0","","","0","0","0","1","","","0","","0","","","0","","0","","","0","","0","","","","","","0","0","0","0","","","","","","","","1","","0","","","","0"
"2020-04-06","0","0","","","","","","","","1","","","0","","","0","0","","0","0","0","","","0","","","0","4","","","","","","1","","","0","","","1","0","","","","","","","","","0","","","0","0","0","1","0","","1","","0","","","0","","0","","","0","","0","","","","","","0","0","0","0","","","","0","","","","0","","0","","","","0"
"2020-04-07","0","0","","","","","","","","1","","","0","","","0","0","","0","0","0","","","0","","","0","4","","","","","","1","","","0","","","1","0","","","","","","","","","0","","","0","0","0","1","0","","1","","0","","","0","","0","","","0","","0","","","","","","0","0","0","0","","","","0","","","","1","","0","","","","0"
"2020-04-08","0","0","","","","","","","","1","","","0","","","0","0","","0","0","0","","","0","","","0","5","","","","","","1","","","0","","","2","0","","","","","","","","0","0","","","0","0","0","1","0","","1","","0","","","0","","0","","","0","","0","","","","","","0","0","0","0","","","","0","","","","1","","0","","","","0"
"2020-04-09","0","0","","","","","","","","1","0","","0","","","0","0","","0","0","0","","","0","","","0","5","","","","","","1","","","0","","","2","0","","","","","","","","0","0","","","0","0","1","1","0","","1","","0","","","0","","0","","","0","","0","0","","","","","0","0","0","0","","","","0","","","","2","","0","","","","0"
"2020-04-10","0","0","","","","","","","","1","0","","0","","","0","0","","0","0","0","","","0","","","0","5","","","","","","1","","","0","","","2","0","","","","","","","","0","0","","","0","0","1","1","0","","2","","0","","","0","","0","","","0","","0","0","","","","","0","0","0","0","","","","0","","","","2","","0","","0","","0"
