"date","Iowa/Adair","Iowa/Adams","Iowa/Allamakee","Iowa/Appanoose","Iowa/Audubon","Iowa/Benton","Iowa/Black Hawk","Iowa/Boone","Iowa/Bremer","Iowa/Buchanan","Iowa/Buena Vista","Iowa/Butler","Iowa/Calhoun","Iowa/Carroll","Iowa/Cass","Iowa/Cedar","Iowa/Cerro Gordo","Iowa/Cherokee","Iowa/Chickasaw","Iowa/Clarke","Iowa/Clay","Iowa/Clayton","Iowa/Clinton","Iowa/Crawford","Iowa/Dallas","Iowa/Davis","Iowa/Decatur","Iowa/Delaware","Iowa/Des Moines","Iowa/Dickinson","Iowa/Dubuque","Iowa/Emmet","Iowa/Fayette","Iowa/Floyd","Iowa/Franklin","Iowa/Fremont","Iowa/Greene","Iowa/Grundy","Iowa/Guthrie","Iowa/Hamilton","Iowa/Hancock","Iowa/Hardin","Iowa/Harrison","Iowa/Henry","Iowa/Howard","Iowa/Humboldt","Iowa/Ida","Iowa/Iowa","Iowa/Jackson","Iowa/Jasper","Iowa/Jefferson","Iowa/Johnson","Iowa/Jones","Iowa/Keokuk","Iowa/Kossuth","Iowa/Lee","Iowa/Linn","Iowa/Louisa","Iowa/Lucas","Iowa/Lyon","Iowa/Madison","Iowa/Mahaska","Iowa/Marion","Iowa/Marshall","Iowa/Mills","Iowa/Mitchell","Iowa/Monona","Iowa/Monroe","Iowa/Montgomery","Iowa/Muscatine","Iowa/O'Brien","Iowa/Osceola","Iowa/Page","Iowa/Palo Alto","Iowa/Plymouth","Iowa/Pocahontas","Iowa/Polk","Iowa/Pottawattamie","Iowa/Poweshiek","Iowa/Ringgold","Iowa/Sac","Iowa/Scott","Iowa/Shelby","Iowa/Sioux","Iowa/Story","Iowa/Tama","Iowa/Taylor","Iowa/Unassigned","Iowa/Union","Iowa/Van Buren","Iowa/Wapello","Iowa/Warren","Iowa/Washington","Iowa/Wayne","Iowa/Webster","Iowa/Winnebago","Iowa/Winneshiek","Iowa/Woodbury","Iowa/Worth","Iowa/Wright"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","0","0","1","0","0","0","0","0","0","1","0","0"
"2020-03-24","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","0","1","0","0","0","0","0","1","1","0","","0","0","0","1","1","0","0","0","0","0","0","0"
"2020-03-25","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","2","0","0","2","0","0","0","0","0","","0","0","0","0","2","0","0","0","0","0","0","0"
"2020-03-26","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6","0","0","0","0","5","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","4","1","0","0","0","4","0","1","0","0","0","","0","0","0","0","2","0","0","0","0","0","0","0"
"2020-03-27","0","0","0","0","0","1","2","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","2","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","1","4","1","0","0","0","1","0","0","0","9","0","0","0","0","10","0","0","0","0","1","0","1","0","0","1","0","1","1","0","0","1","0","0","0","4","0","0","0","0","0","0","0","0","1","0","","0","0","0","0","3","0","1","0","1","1","0","1"
"2020-03-28","0","0","0","0","0","1","-1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","6","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","3","0","1","0","0","14","0","0","0","0","0","0","4","0","0","0","0","0","3","0","0","0","0","0","0","12","0","1","0","0","3","1","0","0","3","1","","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","4","0","0","0","0","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","1","0","","0","0","0","0","2","0","0","0","1","1","0","0"
"2020-03-30","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","4","0","0","0","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","5","1","0","0","0","29","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","11","0","0","0","0","6","2","0","0","1","0","","0","1","0","0","5","0","0","0","0","0","0","0"
"2020-03-31","0","","0","0","0","0","1","0","","0","","0","","0","","1","0","","","","","0","3","0","4","","","","0","0","0","","0","","","","","","0","","0","0","1","0","","","","1","0","1","","3","3","1","0","","19","","","","","0","","2","","","0","","0","3","","","0","","","","15","1","0","","","2","0","1","0","1","0","0","","0","0","2","6","","0","","0","0","","0"
