"date","Meghalaya/East Garo Hills","Meghalaya/East Jaintia Hills","Meghalaya/East Khasi Hills","Meghalaya/North Garo Hills","Meghalaya/Ribhoi","Meghalaya/South Garo Hills","Meghalaya/South West Garo Hills","Meghalaya/South West Khasi Hills","Meghalaya/West Garo Hills","Meghalaya/West Jaintia Hills","Meghalaya/West Khasi Hills"
"2020-04-13","","","   .00 %","","","","","","","",""
"2020-04-15","",""," ##.## %","","","","","","","",""
"2020-04-16","",""," 28.57 %","","","","","","","",""
"2020-04-18","",""," 22.22 %","","","","","","","",""
"2020-04-21","","","  9.09 %","","","","","","","",""
"2020-05-01","","","   .00 %","","","","","","","",""
"2020-05-09","","","  8.33 %","","","","","","","",""
"2020-05-13","","","   .00 %","","","","","","","",""
"2020-05-18","","","   .00 %","","","","","","","",""
"2020-05-20","","","","","","","","","   .00 %","",""
"2020-05-25","","","","   .00 %","","","","","","",""
"2020-05-26","",""," 38.46 %","","","","","","","",""
"2020-05-28","","","","","","","",""," ##.## %","",""
"2020-05-29","","","  5.56 %","","","","   .00 %",""," 50.00 %","","   .00 %"
"2020-06-01","","","","","",""," 33.33 %","","","",""
"2020-06-02","","","","","","","",""," 66.67 %","",""
"2020-06-03","",""," 10.53 %","","","","","","","   .00 %",""
"2020-06-07","",""," 14.29 %","","","","","","","",""
"2020-06-08","","","","","","","","",""," ##.## %",""
"2020-06-09","","","","","   .00 %",""," 25.00 %","",""," 25.00 %",""
"2020-06-10","","","  4.17 %","","","","","","","",""
"2020-06-12","","","   .00 %","   .00 %","","","","","   .00 %","",""
"2020-06-13","","","","","","","","","   .00 %","",""
"2020-06-14","","","","","","","   .00 %","","","",""
"2020-06-16","","","","","","","","","   .00 %","",""
"2020-06-17","","","   .00 %","","-##.## %","","   .00 %","","","",""
"2020-06-18","","","","","","","","","","   .00 %",""
"2020-06-22","","","","","",""," 40.00 %","","","",""
"2020-06-23","","","","","","","","","","   .00 %",""
"2020-06-26","","","  4.00 %","","   .00 %","","","","","",""
"2020-06-28","","","  7.69 %","","","","","","","",""
"2020-06-29","","","  3.57 %","","","","","","","",""
"2020-06-30","","   .00 %","","","","","",""," 20.00 %","",""
"2020-07-01","","","  6.90 %","","","","","","","",""
"2020-07-02","","","",""," ##.## %","","","","","",""
"2020-07-03","","","  6.45 %",""," 25.00 %","","",""," 16.67 %","",""
"2020-07-04","","","  9.09 %",""," ##.## %","","","","","",""
"2020-07-05","","","  2.78 %",""," 10.00 %","","","","","",""
"2020-07-06","",""," 32.43 %",""," 27.27 %","","",""," 14.29 %","",""
"2020-07-07","",""," 12.24 %","","","","","","","",""
"2020-07-08","","","  7.27 %",""," 14.29 %","","   .00 %","","","",""
"2020-07-09","",""," 22.03 %","","","","","","","",""
"2020-07-10","",""," 88.89 %","","","","","","","",""
"2020-07-16","   .00 %"," ##.## %"," ##.## %"," ##.## %"," 50.00 %","   .00 %","   .00 %",""," 50.00 %","","   .00 %"
"2020-07-17","","","  6.19 %",""," 29.17 %","","","","","",""
"2020-07-18","","","  2.15 %",""," 12.90 %","","",""," 25.00 %","",""
"2020-07-19","","","  9.31 %","","  2.86 %",""," 14.29 %","","","",""
"2020-07-20","","","  4.40 %","","","","",""," 20.00 %","",""
"2020-07-21","","","  3.42 %",""," 19.44 %","","","","   .00 %"," 20.00 %",""
"2020-07-22",""," ##.## %","  4.83 %","","","","","",""," 66.67 %",""
"2020-07-23","","","  3.16 %","","",""," 37.50 %",""," 16.67 %","",""
"2020-07-24",""," 50.00 %"," 11.29 %","","   .00 %","","","",""," 30.00 %",""
"2020-07-25",""," 66.67 %"," 11.42 %","","","","","","","  7.69 %",""
"2020-07-26",""," 50.00 %","  7.02 %"," 50.00 %"," 20.93 %","","","","","  7.14 %"," ##.## %"
"2020-07-27",""," 13.33 %","  2.13 %","-33.33 %"," 69.23 %"," 50.00 %","-27.27 %",""," 19.05 %","","-25.00 %"
"2020-07-28","","","  6.25 %","","","   .00 %","","","  4.00 %"," 20.00 %"," 33.33 %"
"2020-07-29","   .00 %","","   .33 %","   .00 %","  1.14 %","","","","  7.69 %","",""
"2020-07-30","","","  2.44 %","",""," 33.33 %","","","  7.14 %","  5.56 %",""
"2020-07-31","","","  3.02 %","","   .00 %"," 25.00 %","","","","",""
"2020-08-01","","  5.88 %","  4.01 %","","  3.37 %","","","","  3.33 %","  5.26 %"," 25.00 %"
"2020-08-02","","  5.56 %","  1.93 %","","  4.35 %","","","","","",""
"2020-08-03","","","  3.06 %","","  5.21 %","","","",""," 10.00 %",""
"2020-08-04","","","  1.27 %","","   .99 %","","   .00 %",""," -6.45 %",""," ##.## %"
"2020-08-05","","","  2.65 %","","   .00 %",""," 25.00 %","","  3.45 %","",""
"2020-08-06","","","  2.31 %",""," 18.63 %","","",""," 46.67 %","  4.55 %",""
"2020-08-07","","  5.26 %","  1.46 %","","  1.65 %","","","","  2.27 %","   .00 %","  8.33 %"
"2020-08-08","","","  1.57 %"," ##.## %","   .00 %","","","","  6.67 %","   .00 %",""
"2020-08-09","","   .00 %","  2.45 %",""," 16.26 %","","","","","",""
"2020-08-10","","","  1.51 %","","  1.40 %","","",""," 81.25 %","",""
"2020-08-11","","","   .99 %"," 50.00 %","  5.52 %","","","   .00 %","  8.05 %","  4.35 %","   .00 %"
"2020-08-12","","  5.00 %","  2.82 %"," 16.67 %","   .65 %"," 20.00 %","",""," 10.64 %","","   .00 %"
"2020-08-13","","","  1.55 %"," 14.29 %","   .00 %","","","","","",""
"2020-08-14","","   .00 %","  1.65 %","","",""," 10.00 %",""," 19.23 %","",""
"2020-08-15","","","  2.20 %"," 25.00 %","  5.84 %","   .00 %","",""," 27.42 %","   .00 %",""
"2020-08-16","","","  2.26 %","","  8.59 %","","",""," 30.38 %","   .00 %",""
"2020-08-17","","  4.76 %","  4.42 %","","","","","","  1.46 %","   .00 %",""
"2020-08-18","","  4.55 %","  2.86 %","","  1.69 %","","  9.09 %","","  3.35 %","",""
"2020-08-19","","  8.70 %","  5.05 %"," 20.00 %","   .00 %","","",""," 11.57 %","",""
"2020-08-20"," ##.## %",""," 10.39 %","","  3.33 %","","","","  4.98 %","  4.17 %",""
"2020-08-21"," ##.## %","","  2.93 %","","   .54 %","","","","  1.19 %","  4.00 %"," ##.## %"
"2020-08-22",""," 16.00 %","  5.69 %"," 16.67 %","  1.07 %","","","","  3.52 %","   .00 %"," 33.33 %"
"2020-08-23",""," 10.34 %","  5.22 %","  7.14 %","  1.59 %"," ##.## %","","","  3.40 %",""," 40.00 %"
"2020-08-24","","   .00 %","  4.27 %","","  2.08 %","","","","","   .00 %","   .00 %"
"2020-08-25","","","  2.31 %","  6.67 %","  1.53 %","","","   .00 %","  2.19 %","  3.85 %",""
"2020-08-26"," ##.## %","","  2.33 %",""," -8.04 %","","   .00 %","","  2.50 %","",""
"2020-08-27"," ##.## %","","  2.13 %","  6.25 %","   .00 %","  6.25 %"," 16.67 %","","  6.62 %","   .00 %",""
"2020-08-28"," 80.00 %","  9.38 %","  3.20 %"," 17.65 %","  1.09 %","","","","  7.52 %","","  1.79 %"
"2020-08-29","","","  1.75 %","   .00 %","   .00 %"," 11.76 %","","","  4.56 %","",""
"2020-08-30"," 12.50 %"," 11.43 %","  2.05 %","","  3.24 %","  5.26 %","   .00 %","","  2.62 %","",""
"2020-08-31",""," 10.26 %","   .91 %"," -5.00 %","   .52 %","","  7.14 %","","  1.42 %","","  1.75 %"
"2020-09-01","  4.94 %","","  3.47 %","","  2.60 %"," 10.00 %","","","  1.96 %","",""
"2020-09-02","  2.35 %"," 20.93 %","  2.55 %","","  8.12 %"," 13.64 %","","","  1.64 %","",""
"2020-09-03","","","  4.73 %","   .00 %","  6.10 %","  8.00 %","","","  4.04 %","  3.70 %","   .00 %"
"2020-09-04","","  7.69 %","  2.49 %"," 10.53 %"," 11.95 %","  3.70 %",""," ##.## %","  6.22 %"," 21.43 %","   .00 %"
"2020-09-05"," 17.24 %","","  6.84 %","  9.52 %"," 12.25 %","","","","  2.93 %","","  1.72 %"
"2020-09-06","","  5.36 %","  1.85 %"," 17.39 %","   .35 %"," 14.29 %","  6.67 %","","  9.48 %","  2.94 %",""
"2020-09-07","   .98 %","  3.39 %","   .26 %","  3.70 %","  1.05 %","  3.12 %","","","  2.60 %","  8.57 %","  1.69 %"
"2020-09-08","   .00 %","","  1.29 %","","   .35 %",""," 18.75 %","","  2.74 %","   .00 %",""
"2020-09-09","   .00 %"," 96.72 %","  1.53 %","   .00 %","   .69 %"," 12.12 %","   .00 %","","  5.13 %","","  1.67 %"
"2020-09-10",""," 22.50 %","  2.01 %","","  3.78 %","","  5.26 %","","  3.52 %","  2.63 %","  1.64 %"
"2020-09-11","   .00 %"," 18.37 %","  4.84 %"," 10.71 %","   .00 %",""," 15.00 %","","  3.21 %","  2.56 %","  3.23 %"
"2020-09-12","   .97 %","  4.02 %","  5.84 %","","  4.64 %","",""," ##.## %","  3.11 %","","  1.56 %"
"2020-09-13","","  1.10 %","  3.78 %","","  2.85 %","","","","  2.30 %","",""
"2020-09-14","","  1.09 %","  5.32 %","","  3.69 %","","","","   .17 %","",""
"2020-09-15",""," 32.97 %","  3.13 %","  3.23 %","  6.82 %","  2.70 %","  4.35 %","","  1.56 %","  2.50 %",""
"2020-09-16","   .96 %"," 13.82 %","  4.14 %","   .00 %","  2.22 %","   .00 %",""," 33.33 %","  1.02 %","","  3.08 %"
"2020-09-17","  1.90 %"," 10.00 %","  4.02 %","   .00 %","  2.45 %",""," 12.50 %","   .00 %","  2.02 %","   .00 %","  1.49 %"
"2020-09-19","","   .32 %","  3.17 %","","  1.06 %","   .00 %","  3.70 %","","  2.98 %","  2.44 %",""
"2020-09-20","","","  2.75 %","","  3.67 %",""," 10.71 %","","  1.12 %","","  1.47 %"
"2020-09-21","","   .00 %","  2.03 %","  3.12 %","   .00 %","","   .00 %","","  1.90 %","  2.38 %",""
"2020-09-22","  1.87 %","  1.62 %","  2.49 %"," -3.03 %"," -7.09 %"," -2.63 %"," 16.13 %","-12.50 %","  1.40 %"," -2.33 %"," -7.25 %"
"2020-09-23","","   .96 %","  3.84 %"," 15.62 %"," 10.08 %","   .00 %","   .00 %","","   .77 %","  7.14 %",""
"2020-09-24","   .92 %","","  3.16 %"," 18.92 %","  1.24 %","","  2.78 %"," 14.29 %","   .76 %","   .00 %","  3.12 %"
"2020-09-25","","   .32 %","  1.38 %"," 20.45 %","   .49 %","   .00 %","  5.41 %","","  3.03 %","  2.22 %",""
"2020-09-26","  5.45 %","   .31 %","   .94 %","  7.55 %","   .24 %","   .00 %","   .00 %","   .00 %","   .73 %","  2.17 %","   .00 %"
"2020-09-27","   .00 %","   .00 %","  2.07 %","  1.75 %","   .00 %","  2.70 %","  5.13 %","","  2.33 %","","  1.52 %"
"2020-09-28","","   .00 %","  1.35 %"," -6.90 %","   .73 %","  2.63 %","  7.32 %","","  1.57 %","","   .00 %"
"2020-09-29","   .86 %","   .31 %","  1.56 %","","   .48 %","","  4.55 %","","  5.19 %","  8.51 %",""
"2020-09-30","   .85 %","","  3.22 %","  1.85 %","  4.32 %",""," 23.91 %"," 12.50 %","  4.00 %","","  1.49 %"
"2020-10-01","","   .94 %","  2.35 %",""," 12.87 %","  2.56 %",""," 11.11 %","  1.67 %","  7.84 %",""
"2020-10-02","   .85 %","  4.02 %","  4.94 %","","  1.43 %"," 15.00 %"," 15.79 %","","  1.13 %","","  4.41 %"
"2020-10-03","  1.68 %","  3.27 %","  8.72 %"," 10.91 %","  6.02 %","","   .00 %"," ##.## %","  2.37 %"," 10.91 %",""
