"date","West Virginia/Barbour","West Virginia/Berkeley","West Virginia/Boone","West Virginia/Braxton","West Virginia/Brooke","West Virginia/Cabell","West Virginia/Calhoun","West Virginia/Clay","West Virginia/Doddridge","West Virginia/Fayette","West Virginia/Gilmer","West Virginia/Grant","West Virginia/Greenbrier","West Virginia/Hampshire","West Virginia/Hancock","West Virginia/Hardy","West Virginia/Harrison","West Virginia/Jackson","West Virginia/Jefferson","West Virginia/Kanawha","West Virginia/Lewis","West Virginia/Lincoln","West Virginia/Logan","West Virginia/Marion","West Virginia/Marshall","West Virginia/Mason","West Virginia/McDowell","West Virginia/Mercer","West Virginia/Mineral","West Virginia/Mingo","West Virginia/Monongalia","West Virginia/Monroe","West Virginia/Morgan","West Virginia/Nicholas","West Virginia/Ohio","West Virginia/Pendleton","West Virginia/Pleasants","West Virginia/Pocahontas","West Virginia/Preston","West Virginia/Putnam","West Virginia/Raleigh","West Virginia/Randolph","West Virginia/Ritchie","West Virginia/Roane","West Virginia/Summers","West Virginia/Taylor","West Virginia/Tucker","West Virginia/Tyler","West Virginia/Unassigned","West Virginia/Upshur","West Virginia/Wayne","West Virginia/Webster","West Virginia/Wetzel","West Virginia/Wirt","West Virginia/Wood","West Virginia/Wyoming"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0"
"2020-03-25","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","1","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","1","0","0","1","1","0","0","0","0","0","0","2","0","0","0","2","0","0","0","1","1","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0"
"2020-03-27","0","2","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","1","1","1","10","0","0","0","1","1","1","0","0","0","0","6","0","0","0","-1","0","0","0","-1","0","1","0","0","0","0","0","0","0","","1","0","0","0","0","1","0"
"2020-03-28","0","5","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","2","0","0","0","1","0","2","0","0","0","0","-1","0","0","0","5","0","1","0","0","1","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0"
"2020-03-29","0","1","0","0","0","0","0","0","0","0","0","0","1","0","2","0","1","1","0","2","0","0","0","2","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0"
"2020-03-30","0","4","0","0","0","1","0","0","0","0","0","0","1","0","0","0","5","1","2","4","0","0","1","0","0","0","0","0","0","0","2","0","1","0","3","0","0","0","1","1","0","1","0","2","0","0","0","0","","0","0","0","1","1","0","0"
"2020-03-31","","2","","","","0","","","","","","","0","","0","1","1","1","2","8","","","0","0","0","0","","0","","","0","","0","","1","","0","","1","0","0","0","","0","","","0","","","0","","","0","0","0",""
