"date","Manipur/Bishnupur","Manipur/CAPF Personnel","Manipur/CAPF Personnel ","Manipur/Chandel","Manipur/Churachandpur","Manipur/Imphal East","Manipur/Imphal West","Manipur/Jiribam","Manipur/Kakching","Manipur/Kamjong","Manipur/Kangpokpi","Manipur/Meitram","Manipur/Noney","Manipur/Pherzawl","Manipur/Senapati","Manipur/Tamenglong","Manipur/Tengnoupal","Manipur/Thoubal","Manipur/Ukhrul","Manipur/kasom khulem"
"2020-07-01","","","","","","","   .00 %","","","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-07-02","","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %",""
"2020-07-03","","","","","","","","","","","","","","","","","","   .00 %","   .00 %",""
"2020-07-04","   .00 %","","","","","   .00 %","","","","","","","","","   .00 %","","","","",""
"2020-07-05","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","   .00 %",""
"2020-07-06","","","","","","   .00 %","","   .00 %","","","","","","","   .00 %","","","","",""
"2020-07-07","","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","   .00 %","","","","",""
"2020-07-08","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-07-09","   .00 %","","","","   .00 %","   .00 %","","   .00 %","","","","","","","","   .00 %","","","",""
"2020-07-10","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-07-11","","","","","","","   .00 %","   .00 %","","","","","","","","","","","   .00 %",""
"2020-07-12","","","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","","   .00 %","","","","",""
"2020-07-13","","","","","   .00 %","   .00 %","","","","","","","","","   .00 %","","","","",""
"2020-07-14","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %","","   .00 %","   .00 %",""
"2020-07-15","","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","",""
"2020-07-16","","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-07-17","   .00 %","","","","   .00 %","","","   .00 %","","","","","","","","","","   .00 %","   .00 %",""
"2020-07-18","","","","","","","   .00 %","","","   .00 %","   .00 %","","","","","   .00 %","","   .00 %","   .00 %",""
"2020-07-19","   .00 %","","","","","   .00 %","   .00 %","","","","","","","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-07-20","","","","","","","   .00 %","","","   .00 %","","","","","","","","   .00 %","",""
"2020-07-21","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %","",""
"2020-07-22","","","","","   .00 %","   .00 %","","   .00 %","","","","","","","   .00 %","","","   .00 %","   .00 %",""
"2020-07-23","","","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %",""
"2020-07-24","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","","","","","   .00 %","   .00 %",""
"2020-07-25","","","","","","   .00 %","   .00 %","","","","","","","","","","","   .00 %","",""
"2020-07-26","","","","","","","   .00 %","","   .00 %","","","","","","","   .00 %","","   .00 %","",""
"2020-07-27","","","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","","","","   .00 %","",""
"2020-07-28","","","","","   .00 %","","   .00 %","","","","","","","","","   .00 %","","   .00 %","",""
"2020-07-29","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","",""
"2020-07-30","","","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","","   .00 %"," 20.00 %","",""
"2020-07-31","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %"," 30.00 %","",""
"2020-08-01","   .00 %","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","","","","","   .00 %","   .00 %"," 30.00 %","   .00 %",""
"2020-08-02","","",""," 20.00 %","   .00 %","","   .00 %","","","","   .00 %","","","","   .00 %","",""," 30.00 %","",""
"2020-08-03","   .00 %","","","","","","   .00 %","","","","","","","","","",""," 30.00 %","   .00 %",""
"2020-08-04","","",""," 20.00 %","","   .00 %","   .00 %","","   .00 %","","","","","","","   .00 %",""," 10.00 %","",""
"2020-08-05","   .00 %","   .00 %",""," 20.00 %","   .00 %","   .00 %","   .00 %","","","","","","","","   .00 %","","","   .00 %","",""
"2020-08-06","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","",""
"2020-08-07","   .00 %","   .00 %",""," 30.00 %","","   .00 %","   .00 %","","   .00 %",""," 20.00 %","","","","","   .00 %","","   .00 %","",""
"2020-08-08","   .00 %","   .00 %",""," 30.00 %","   .00 %","   .00 %","   .00 %","","","","","","   .00 %","","","","","   .00 %","   .00 %",""
"2020-08-09","","   .00 %",""," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","",""," 20.00 %","","","","   .00 %","","","   .00 %","   .00 %",""
"2020-08-10","","   .00 %",""," 10.00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," 20.00 %","","","","   .00 %","","","   .00 %","",""
"2020-08-11","   .00 %","   .00 %","","",""," 20.00 %","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","   .00 %","","   .00 %","",""
"2020-08-12","","   .00 %","","","   .00 %"," 20.00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %","",""
"2020-08-13","   .00 %","   .00 %","","","   .00 %"," 20.00 %"," 20.00 %","","","","","","","","   .00 %","","","   .00 %","",""
"2020-08-14","   .00 %","   .00 %","","","   .00 %"," 20.00 %"," 20.00 %","","   .00 %","","","","   .00 %","","","","","   .00 %","   .00 %",""
"2020-08-15","   .00 %","   .00 %",""," 10.00 %",""," 20.00 %"," 20.00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","",""
"2020-08-16","","   .00 %","","","","   .00 %"," 30.00 %","","",""," 20.00 %","","   .00 %","","   .00 %","","","  6.67 %","   .00 %",""
"2020-08-17","","   .00 %","","","   .00 %"," 10.00 %"," 30.00 %","","","","","","   .00 %","","","   .00 %","","  6.67 %","",""
"2020-08-18","   .00 %","   .00 %","","",""," 10.00 %"," 16.67 %","","","","","","   .00 %","","","","","  6.67 %","",""
"2020-08-19","   .00 %","   .00 %","","   .00 %","   .00 %"," 10.00 %"," 16.67 %","","   .00 %","","","","","   .00 %","","","","  6.67 %","",""
"2020-08-20","   .00 %","   .00 %","","   .00 %",""," 10.00 %"," 16.67 %","","","","","","","","   .00 %","","","  6.67 %","   .00 %",""
"2020-08-21","   .00 %","   .00 %","","   .00 %","   .00 %"," 10.00 %"," 16.67 %","","   .00 %","","","","","","","   .00 %","","   .00 %","",""
"2020-08-22","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 16.67 %","","   .00 %","","","","","","","","","  5.00 %","",""
"2020-08-23","   .00 %","   .00 %","","   .00 %","","   .00 %"," 10.00 %","","   .00 %","","","","   .00 %","","","","","  5.00 %","   .00 %",""
"2020-08-24","   .00 %","   .00 %","","","   .00 %","   .00 %"," 10.00 %","","   .00 %","","","","","","","","","  5.00 %","   .00 %",""
"2020-08-25","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 10.00 %","","","","","","","","","","","  5.00 %","",""
"2020-08-26","   .00 %","   .00 %","","","   .00 %","   .00 %","  3.33 %","","   .00 %",""," 20.00 %","","   .00 %","","   .00 %","","","  5.00 %","",""
"2020-08-27","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  3.33 %","","","","   .00 %","","","","   .00 %","","","   .00 %","   .00 %",""
"2020-08-28","   .00 %","   .00 %","","  6.67 %","   .00 %","  6.67 %","  3.33 %","","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %","",""
"2020-08-29","   .00 %","   .00 %","","  6.67 %","   .00 %"," 11.67 %","  3.33 %","","","","","","","","","","","   .00 %","",""
"2020-08-30","   .00 %","   .00 %","","  6.67 %","   .00 %"," 11.67 %","  3.33 %","","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %",""
"2020-08-31","   .00 %","   .00 %","","  6.67 %","   .00 %"," 11.67 %","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %",""
"2020-09-01","   .00 %","   .00 %","","","   .00 %"," 11.67 %","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","","  4.00 %","   .00 %",""
"2020-09-02","   .00 %","   .00 %","","  6.67 %","   .00 %","  5.00 %","   .00 %","","   .00 %","","","","","","","","","  4.00 %","",""
"2020-09-03"," 20.00 %","   .00 %","","   .00 %","   .00 %","  4.00 %","   .00 %","","","","","","","","","","   .00 %","  7.33 %","",""
"2020-09-04"," 20.00 %","   .00 %","","",""," 10.67 %","   .00 %","   .00 %","   .00 %","","","","","","","","   .00 %"," 10.19 %","",""
"2020-09-05"," 20.00 %","   .00 %","","","   .00 %"," 10.67 %","   .00 %","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %"," 12.69 %","   .00 %",""
"2020-09-06"," 20.00 %","   .00 %","","","   .00 %"," 13.17 %","   .00 %","","","","","","","","   .00 %","   .00 %",""," 10.91 %","   .00 %",""
"2020-09-07"," 20.00 %","   .00 %","","   .00 %","   .00 %"," 13.17 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","",""," 10.91 %","",""
"2020-09-08","   .00 %","   .00 %","","   .00 %","   .00 %","  9.17 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","  9.58 %","   .00 %",""
"2020-09-09","   .00 %","   .00 %","","","","  2.50 %","   .00 %","","   .00 %","","   .00 %","","","","   .00 %","","","  8.54 %","   .00 %",""
"2020-09-10","   .00 %","   .00 %","",""," 20.00 %","  6.94 %","  2.86 %","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %","  6.04 %","   .00 %",""
"2020-09-11","   .00 %","   .00 %","","   .00 %"," 20.00 %","  4.44 %","  2.86 %","","   .00 %","","   .00 %","","","","","","   .00 %","  3.82 %","   .00 %",""
"2020-09-12","   .00 %","   .00 %","","   .00 %"," 20.00 %","  4.44 %","  2.86 %","   .00 %","   .00 %","","","","   .00 %","","","","","  5.48 %","   .00 %",""
"2020-09-13","   .00 %","   .00 %","",""," 30.00 %","  4.44 %","  2.86 %","","   .00 %","","   .00 %","","","","","","","  3.48 %","",""
"2020-09-14","   .00 %","   .00 %","","   .00 %"," 30.00 %","  4.44 %","  2.86 %","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","","  1.67 %","   .00 %",""
"2020-09-15","   .00 %","   .00 %","",""," 10.00 %","   .00 %","  2.50 %","","   .00 %","","","","","","","   .00 %","   .00 %","  1.67 %","   .00 %",""
"2020-09-16","   .00 %","   .00 %","",""," 10.00 %","  1.82 %","  2.50 %","","","","   .00 %","","   .00 %","","","","","  1.67 %","   .00 %",""
"2020-09-18","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-09-19","   .00 %","   .00 %","",""," 10.00 %","  1.82 %","  6.94 %","   .00 %","   .00 %","","","","","","   .00 %","","","  1.54 %","",""
"2020-09-20","   .00 %","   .00 %","","","   .00 %","  5.15 %","  6.94 %","","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","  1.54 %","",""
"2020-09-21","   .00 %","   .00 %","","","   .00 %","  5.15 %"," 10.58 %","","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","","  1.54 %","",""
"2020-09-22","   .00 %","   .00 %","","   .00 %","   .00 %","  5.15 %","  9.62 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","  1.54 %","",""
"2020-09-23","   .00 %","   .00 %","","   .00 %","   .00 %","  3.33 %"," 11.05 %","   .00 %","   .00 %",""," 10.00 %","","","","   .00 %","   .00 %","","  1.54 %","",""
"2020-09-24","   .00 %","","","   .00 %","   .00 %","  3.33 %","  6.60 %","","   .00 %","   .00 %"," 10.00 %","","   .00 %","","   .00 %","","","   .00 %","   .00 %",""
"2020-09-25"," 10.00 %","   .00 %","","","   .00 %","   .00 %","  6.60 %","","   .00 %",""," 10.00 %","","","","","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-09-26"," 10.00 %","   .00 %","","","   .00 %","  1.43 %","  2.97 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-09-27"," 10.00 %","   .00 %","","   .00 %","   .00 %","  1.43 %","  1.43 %","   .00 %","   .00 %","   .00 %"," 10.00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-09-28"," 10.00 %","   .00 %","","   .00 %","   .00 %","  1.43 %","   .00 %","","   .00 %",""," 10.00 %","","   .00 %","","","   .00 %","","   .00 %","",""
"2020-09-29"," 10.00 %","   .00 %","","","   .00 %","  2.76 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-09-30","   .00 %","   .00 %","","   .00 %","   .00 %","  2.76 %","  1.33 %","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","  1.43 %","",""
"2020-10-01","   .00 %","   .00 %","","   .00 %","   .00 %","  1.33 %","  1.33 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","  2.76 %","   .00 %",""
"2020-10-02","   .00 %","   .00 %","","","   .00 %","  2.58 %","  1.33 %","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","  2.76 %","",""
"2020-10-03","   .00 %","   .00 %","","   .00 %"," 13.33 %","  2.58 %","  1.33 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  2.76 %","   .00 %",""
"2020-10-04","   .00 %","   .00 %","","   .00 %"," 13.33 %","  1.25 %","  2.58 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  2.76 %","",""
"2020-10-05","   .00 %","","",""," 13.33 %","  1.25 %","  2.43 %","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","  1.33 %","   .00 %",""
"2020-10-06","   .00 %","   .00 %","","   .00 %"," 17.33 %","  1.25 %","  4.65 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-10-07","   .00 %","","","   .00 %"," 17.33 %","  1.18 %","  4.65 %","","","","","","   .00 %","","   .00 %","   .00 %","","  1.25 %","   .00 %",""
"2020-10-08","   .00 %","   .00 %","","   .00 %","  4.00 %","  1.18 %","  5.65 %","","   .00 %","","  6.67 %","","   .00 %","","   .00 %","   .00 %","","  2.43 %","   .00 %",""
"2020-10-09","   .00 %"," 20.00 %","","","  4.00 %","  1.18 %","  5.35 %","   .00 %"," 20.00 %","","  6.67 %","","   .00 %","","   .00 %","   .00 %","","  2.43 %","",""
"2020-10-10","   .00 %"," 20.00 %","","   .00 %","  4.00 %","  1.18 %","  5.08 %","   .00 %","","   .00 %","  6.67 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  3.54 %","   .00 %",""
"2020-10-11","   .00 %"," 20.00 %","","","  3.33 %","  2.29 %","  3.73 %","   .00 %"," 20.00 %","","  6.67 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  3.54 %","   .00 %",""
"2020-10-12","   .00 %","","","   .00 %","  3.33 %","  2.16 %","  4.56 %","   .00 %"," 20.00 %","","  6.67 %","","   .00 %","","","   .00 %","","  2.29 %","   .00 %",""
"2020-10-13","   .00 %"," 20.00 %","","","  3.33 %","  2.16 %","  5.16 %",""," 20.00 %","","  5.00 %","","   .00 %","","","   .00 %","   .00 %","  2.16 %","",""
"2020-10-14","   .00 %"," 20.00 %","","   .00 %","  3.33 %","  4.16 %","  4.95 %",""," 20.00 %","","  9.00 %","","   .00 %","","   .00 %"," 20.00 %","","  3.16 %","   .00 %",""
"2020-10-15","   .00 %","   .00 %","","   .00 %","  3.33 %","  4.16 %","  4.76 %","   .00 %","   .00 %","   .00 %","  9.00 %","","   .00 %","","   .00 %"," 20.00 %","   .00 %","  2.05 %","",""
"2020-10-16","   .00 %","   .00 %","","   .00 %","   .00 %","  5.78 %","  3.89 %","","   .00 %","","  9.00 %","","   .00 %","","   .00 %"," 30.00 %","   .00 %","  3.01 %","   .00 %",""
"2020-10-17","   .00 %","   .00 %","","  5.00 %","   .00 %","  5.53 %","  3.06 %","   .00 %","   .00 %","   .00 %","  9.00 %","","","","   .00 %"," 30.00 %","   .00 %","  3.01 %","   .00 %",""
"2020-10-18","   .00 %","   .00 %","","  5.00 %","  8.57 %","  6.30 %","  2.14 %","   .00 %","   .00 %","","  4.00 %","","   .00 %","","   .00 %","","   .00 %","  1.95 %","   .00 %",""
"2020-10-19","   .00 %","   .00 %","","  5.00 %"," 10.57 %","  4.30 %","  1.40 %","","   .00 %","","   .00 %","","   .00 %","","   .00 %"," 30.00 %","   .00 %","   .95 %","   .00 %",""
"2020-10-20","   .00 %","   .00 %","",""," 12.39 %","  5.04 %","  1.36 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %"," 10.00 %","   .00 %","  1.86 %","   .00 %",""
"2020-10-21","   .00 %","   .00 %","","  5.00 %"," 12.39 %","  2.31 %","  1.36 %","","   .00 %","","   .00 %","","   .00 %","","   .00 %"," 10.00 %","   .00 %","  2.65 %","   .00 %",""
"2020-10-22"," 13.33 %","   .00 %","","  5.00 %"," 12.39 %","  1.51 %","  1.36 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","  2.65 %","   .00 %",""
"2020-10-23"," 13.33 %","   .00 %","","  4.00 %","  7.15 %","  1.46 %","  1.31 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","  2.65 %","",""
"2020-10-24"," 13.33 %","   .00 %","","  4.00 %","  5.15 %","  3.52 %","  2.56 %","","   .00 %","","  3.33 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  2.65 %","",""
"2020-10-25"," 13.33 %","   .00 %","","  4.00 %","  3.33 %","  3.41 %","  1.90 %","   .00 %","   .00 %","","  3.33 %","","   .00 %","","","   .00 %","   .00 %","  1.74 %","",""
"2020-10-26"," 13.33 %","   .00 %","","  4.00 %","  3.33 %","  5.83 %","  2.48 %","   .00 %","   .00 %","   .00 %","  3.33 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-11-02","   .00 %","   .00 %","","","","  5.83 %","  2.48 %","","","","  3.33 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-11-03","   .00 %","","","  4.00 %","  3.33 %","  5.12 %","  1.84 %","","   .00 %","   .00 %","  3.33 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-11-04","   .00 %","   .00 %","","   .00 %","   .00 %","  3.05 %","   .59 %","   .00 %","   .00 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-11-05","   .00 %","   .00 %","","   .00 %","   .00 %","  2.42 %","   .59 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .80 %","   .00 %",""
"2020-11-06","   .00 %","   .00 %","","","   .00 %","   .00 %","  1.14 %","","   .00 %","","","","   .00 %","","   .00 %","","   .00 %","   .80 %","   .00 %",""
"2020-11-07","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  2.22 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","  1.57 %","   .00 %",""
"2020-11-08","   .00 %","   .00 %","","","   .00 %","  1.08 %","  2.22 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","","  2.31 %","",""
"2020-11-09","   .00 %","   .00 %","","   .00 %","   .00 %","  1.08 %","  2.74 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","","  2.31 %","   .00 %",""
"2020-11-10","   .00 %","   .00 %","","   .00 %","   .00 %","  1.08 %","  2.74 %","   .00 %"," 10.00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","  2.22 %","   .00 %",""
"2020-11-11","   .00 %","   .00 %","","   .00 %","   .00 %","  1.08 %","  2.59 %","   .00 %"," 10.00 %","","   .00 %","","","   .00 %","","   .00 %","   .00 %","  2.22 %","   .00 %",""
"2020-11-12","   .00 %","   .00 %","","   .00 %","   .00 %","  1.59 %","  2.94 %","   .00 %"," 10.00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","  2.14 %","   .00 %",""
"2020-11-13","  8.00 %","   .00 %","","   .00 %","  2.86 %","   .51 %","  3.83 %",""," 10.00 %","","   .00 %","","","","   .00 %","   .00 %","","  1.40 %","   .00 %",""
"2020-11-14","  8.00 %","   .00 %","","","  2.86 %","   .51 %","  4.59 %",""," 23.33 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","  1.40 %","   .00 %",""
"2020-11-15","  8.00 %","   .00 %","","   .00 %","  2.86 %","   .51 %","  4.99 %","   .00 %"," 13.33 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","  2.02 %","   .00 %",""
"2020-11-16","  8.00 %","","","   .00 %","  4.11 %","   .51 %","  4.78 %",""," 13.33 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","  2.02 %","",""
"2020-11-17","  8.00 %","   .00 %","","   .00 %","  4.11 %","   .50 %","  3.35 %","   .00 %"," 13.33 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  1.33 %","   .00 %",""
"2020-11-18","   .00 %","   .00 %","","   .00 %","  1.25 %","  2.45 %","  2.84 %","   .00 %"," 13.33 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","  1.96 %","   .00 %",""
"2020-11-19","   .00 %","   .00 %","","","  1.25 %","  2.45 %","  1.56 %","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","","  1.96 %","   .00 %",""
"2020-11-20","   .00 %","   .00 %","","","  1.25 %","  2.45 %","  1.16 %","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","","   .62 %","   .00 %",""
"2020-11-22","  2.86 %","   .00 %","","   .00 %","   .00 %","  2.45 %","   .75 %","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","  1.23 %","   .00 %",""
"2020-11-23","  2.86 %","   .00 %","","   .00 %","  2.35 %","  1.95 %","   .75 %","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","","  1.23 %","   .00 %",""
"2020-11-26","  5.36 %","","","   .00 %","  3.41 %","   .00 %","  1.10 %","   .00 %","   .00 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .61 %","   .00 %",""
"2020-11-27","  5.36 %","   .00 %","","","  3.41 %","  1.33 %","  2.50 %","","   .00 %","","","","   .00 %","","","   .00 %","","   .61 %","   .00 %",""
"2020-11-28","  5.36 %","   .00 %","","  3.33 %","  3.41 %","  1.75 %","  3.48 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","  6.67 %","   .00 %","  1.19 %","   .00 %",""
