"date","Chandigarh/Chandigarh"
"2020-03-19",""
"2020-03-20",""
"2020-03-22",""
"2020-03-23",""
"2020-03-27",""
"2020-03-30",""
"2020-03-31",""
"2020-04-01",""
"2020-04-02",""
"2020-04-10",""
"2020-04-12",""
"2020-04-18",""
"2020-04-19",""
"2020-04-21",""
"2020-04-25",""
"2020-04-26",""
"2020-04-27",""
"2020-04-28",""
"2020-04-29",""
"2020-04-30",""
"2020-05-01",""
"2020-05-02",""
"2020-05-03",""
"2020-05-04","0"
"2020-05-05","0"
"2020-05-06","0"
"2020-05-07","0"
"2020-05-08","1"
"2020-05-09","0"
"2020-05-10","1"
"2020-05-11","0"
"2020-05-12","0"
"2020-05-13","0"
"2020-05-14","0"
"2020-05-15","0"
"2020-05-16","0"
"2020-05-18","0"
"2020-05-19","0"
"2020-05-20","0"
"2020-05-21","0"
"2020-05-22","0"
"2020-05-23","0"
"2020-05-24","1"
"2020-05-25","0"
"2020-05-26","0"
"2020-05-27","0"
"2020-05-28","0"
"2020-05-30","0"
"2020-05-31","0"
"2020-06-01","0"
"2020-06-02","1"
"2020-06-04","0"
"2020-06-05","0"
"2020-06-06","0"
"2020-06-07","0"
"2020-06-08","0"
"2020-06-09","0"
"2020-06-10","0"
"2020-06-11","0"
"2020-06-12","0"
"2020-06-13","0"
"2020-06-14","0"
"2020-06-15","1"
"2020-06-16","0"
"2020-06-17","0"
"2020-06-18","0"
"2020-06-19","0"
"2020-06-20","0"
"2020-06-21","0"
"2020-06-22","0"
"2020-06-23","0"
"2020-06-24","0"
"2020-06-25","0"
"2020-06-26","0"
"2020-06-27","0"
"2020-06-28","0"
"2020-06-29","0"
"2020-06-30","0"
"2020-07-01","0"
"2020-07-02","0"
"2020-07-03","0"
"2020-07-04","0"
"2020-07-05","0"
"2020-07-06","0"
"2020-07-07","1"
"2020-07-08","0"
"2020-07-09","0"
"2020-07-10","0"
"2020-07-11","1"
"2020-07-12","0"
"2020-07-13","0"
"2020-07-14","2"
"2020-07-15","1"
"2020-07-16","0"
"2020-07-17","0"
"2020-07-18","1"
"2020-07-19","0"
"2020-07-20","0"
"2020-07-21","0"
"2020-07-22","1"
"2020-07-23","0"
"2020-07-24","0"
"2020-07-25","0"
"2020-07-26","0"
"2020-07-27","1"
"2020-07-28","0"
"2020-07-29","0"
"2020-07-30","0"
"2020-07-31","1"
"2020-08-01","3"
"2020-08-02","1"
"2020-08-03","0"
"2020-08-04","1"
"2020-08-05","0"
"2020-08-06","0"
"2020-08-07","3"
"2020-08-08","1"
"2020-08-09","1"
"2020-08-10","0"
"2020-08-11","1"
"2020-08-12","1"
"2020-08-13","1"
"2020-08-14","0"
"2020-08-15","0"
"2020-08-16","1"
"2020-08-17","1"
"2020-08-18","0"
"2020-08-19","1"
"2020-08-20","0"
"2020-08-21","2"
"2020-08-22","0"
"2020-08-23","4"
"2020-08-24","0"
"2020-08-25","3"
"2020-08-26","1"
"2020-08-27","2"
"2020-08-28","2"
"2020-08-29","0"
"2020-08-30","7"
"2020-08-31","4"
"2020-09-01","1"
"2020-09-02","2"
"2020-09-03","4"
"2020-09-04","5"
"2020-09-05","1"
"2020-09-06","2"
"2020-09-07","3"
"2020-09-08","1"
"2020-09-09","2"
"2020-09-10","3"
"2020-09-11","3"
