"date","Florida/Alachua","Florida/Baker","Florida/Bay","Florida/Bradford","Florida/Brevard","Florida/Broward","Florida/Calhoun","Florida/Charlotte","Florida/Citrus","Florida/Clay","Florida/Collier","Florida/Columbia","Florida/DeSoto","Florida/Desoto","Florida/Dixie","Florida/Duval","Florida/Escambia","Florida/Flagler","Florida/Franklin","Florida/Gadsden","Florida/Gilchrist","Florida/Glades","Florida/Gulf","Florida/Hamilton","Florida/Hardee","Florida/Hendry","Florida/Hernando","Florida/Highlands","Florida/Hillsborough","Florida/Holmes","Florida/Indian River","Florida/Jackson","Florida/Jefferson","Florida/Lafayette","Florida/Lake","Florida/Lee","Florida/Leon","Florida/Levy","Florida/Liberty","Florida/Madison","Florida/Manatee","Florida/Marion","Florida/Martin","Florida/Miami-Dade","Florida/Monroe","Florida/Nassau","Florida/Okaloosa","Florida/Okeechobee","Florida/Orange","Florida/Osceola","Florida/Palm Beach","Florida/Pasco","Florida/Pinellas","Florida/Polk","Florida/Putnam","Florida/Santa Rosa","Florida/Sarasota","Florida/Seminole","Florida/St. Johns","Florida/St. Lucie","Florida/Sumter","Florida/Suwannee","Florida/Taylor","Florida/Unassigned","Florida/Union","Florida/Volusia","Florida/Wakulla","Florida/Walton","Florida/Washington"
"2020-03-22","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-23","0","0","0","0","0","3","0","0","0","2","0","0","0","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","2","0","3","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"2020-03-24","0","0","0","0","0","3","0","0","0","2","0","0","0","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","2","0","3","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"2020-03-25","0","0","0","0","0","3","0","0","0","2","0","0","0","","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","1","0","0","0","0","0","0","0","2","0","3","0","1","0","0","1","2","0","1","0","0","0","0","","0","0","0","0","0"
"2020-03-26","0","0","0","0","0","3","0","0","1","4","0","0","0","","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","1","0","0","0","1","0","0","0","0","0","0","0","4","0","3","1","1","0","0","1","1","0","1","0","0","0","0","","0","0","0","0","0"
"2020-03-27","0","0","0","0","0","5","0","0","1","4","0","0","0","","0","3","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","4","0","0","0","0","1","0","0","1","0","0","0","0","4","0","3","1","1","0","0","1","2","0","1","1","0","0","0","","0","0","0","0","0"
"2020-03-28","0","0","0","0","0","10","0","0","1","4","0","0","0","","0","3","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","5","0","0","0","0","1","0","0","2","0","0","0","0","4","0","5","1","1","0","0","1","2","0","2","1","0","0","0","8","0","0","0","0","0"
"2020-03-29","0","0","0","0","0","11","0","0","1","4","0","0","0","","0","3","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","6","0","0","0","0","1","0","0","3","0","0","0","0","4","0","5","2","4","0","0","1","2","0","2","1","0","0","0","2","0","1","0","0","0"
"2020-03-30","0","0","0","0","0","11","0","0","1","4","1","0","0","","0","3","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","6","0","0","0","0","1","0","0","3","0","0","0","0","4","0","7","2","5","0","0","1","2","0","2","2","0","0","0","4","0","1","0","0","0"
"2020-03-31","0","0","0","0","0","12","0","0","2","5","1","0","1","","","4","0","0","","0","","1","","","","0","0","1","3","0","0","0","","","0","8","0","0","","","2","0","0","7","0","0","1","","4","1","14","2","5","1","0","2","3","0","2","2","0","0","","0","0","1","0","0","0"
