"date","Oklahoma/Adair","Oklahoma/Alfalfa","Oklahoma/Atoka","Oklahoma/Beaver","Oklahoma/Beckham","Oklahoma/Blaine","Oklahoma/Bryan","Oklahoma/Caddo","Oklahoma/Canadian","Oklahoma/Carter","Oklahoma/Cherokee","Oklahoma/Choctaw","Oklahoma/Cimarron","Oklahoma/Cleveland","Oklahoma/Coal","Oklahoma/Comanche","Oklahoma/Cotton","Oklahoma/Craig","Oklahoma/Creek","Oklahoma/Custer","Oklahoma/Delaware","Oklahoma/Dewey","Oklahoma/Ellis","Oklahoma/Garfield","Oklahoma/Garvin","Oklahoma/Grady","Oklahoma/Grant","Oklahoma/Greer","Oklahoma/Harmon","Oklahoma/Harper","Oklahoma/Haskell","Oklahoma/Hughes","Oklahoma/Jackson","Oklahoma/Jefferson","Oklahoma/Johnston","Oklahoma/Kay","Oklahoma/Kingfisher","Oklahoma/Kiowa","Oklahoma/Latimer","Oklahoma/Le Flore","Oklahoma/Lincoln","Oklahoma/Logan","Oklahoma/Love","Oklahoma/Major","Oklahoma/Marshall","Oklahoma/Mayes","Oklahoma/McClain","Oklahoma/McCurtain","Oklahoma/McIntosh","Oklahoma/Murray","Oklahoma/Muskogee","Oklahoma/Noble","Oklahoma/Nowata","Oklahoma/Okfuskee","Oklahoma/Oklahoma","Oklahoma/Okmulgee","Oklahoma/Osage","Oklahoma/Ottawa","Oklahoma/Out of OK","Oklahoma/Pawnee","Oklahoma/Payne","Oklahoma/Pittsburg","Oklahoma/Pontotoc","Oklahoma/Pottawatomie","Oklahoma/Pushmataha","Oklahoma/Roger Mills","Oklahoma/Rogers","Oklahoma/Seminole","Oklahoma/Sequoyah","Oklahoma/Stephens","Oklahoma/Texas","Oklahoma/Tillman","Oklahoma/Tulsa","Oklahoma/Unassigned","Oklahoma/Wagoner","Oklahoma/Washington","Oklahoma/Washita","Oklahoma/Woods","Oklahoma/Woodward"
"2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","0","0","0","0","0"
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","0","0","0","0","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","0","0","0","0","0"
"2020-03-25","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","0","0","0","0","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","0","0","0","0","0"
"2020-03-27","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","0","0","0","0","0"
"2020-03-28","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","","1","0","0","0","0","0","0","0","0","1","0","0","0","3","","1","0","0","0","0"
"2020-03-29","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","","1","0","0","0","0","0","0","0","0","1","0","0","0","3","","1","0","0","0","0"
"2020-03-30","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","","1","0","0","0","0","0","0","0","0","1","0","0","0","3","","1","0","0","0","0"
"2020-03-31","0","","","","0","","0","0","1","0","0","0","","6","","0","0","0","1","0","0","","","0","0","0","","","","","","","0","","","0","","","0","0","0","0","0","","","0","0","","","","1","0","0","","7","0","0","0","0","1","0","0","0","0","","","0","0","1","0","0","","3","","2","0","","",""
